iter	Passed	Remaining
535	26133	22622
536	26181	22574
537	26231	22525
538	26276	22474
539	26322	22423
540	26369	22372
541	26416	22322
542	26465	22274
543	26507	22219
544	26553	22168
545	26599	22117
546	26644	22065
547	26693	22017
548	26745	21971
549	26795	21923
550	26846	21876
551	26894	21827
552	26945	21780
553	26993	21731
554	27042	21682
555	27092	21634
556	27139	21584
557	27193	21540
558	27244	21493
559	27296	21447
560	27344	21397
561	27391	21347
562	27433	21294
563	27483	21246
564	27533	21198
565	27580	21148
566	27627	21097
567	27674	21048
568	27721	20997
569	27768	20947
570	27819	20900
571	27866	20851
572	27915	20802
573	27969	20757
574	28026	20715
575	28075	20666
576	28123	20617
577	28171	20568
578	28217	20517
579	28266	20468
580	28313	20418
581	28363	20371
582	28411	20321
583	28457	20270
584	28503	20220
585	28549	20169
586	28598	20121
587	28645	20071
588	28692	20021
589	28739	19971
590	28785	19920
591	28835	19873
592	28882	19823
593	28930	19773
594	28984	19729
595	29031	19678
596	29077	19628
597	29128	19581
598	29169	19527
599	29215	19476
600	29262	19427
601	29313	19380
602	29362	19331
603	29402	19277
604	29448	19226
605	29494	19176
606	29548	19130
607	29611	19091
608	29681	19056
609	29743	19016
610	29794	18969
611	29853	18926
612	29908	18881
613	29963	18836
614	30146	18871
615	30201	18827
616	30264	18786
617	30313	18737
618	30365	18689
619	30409	18637
620	30454	18586
621	30501	18536
622	30548	18486
623	30595	18435
624	30640	18384
625	30688	18334
626	30735	18284
627	30783	18234
628	30841	18191
629	30889	18141
630	30941	18094
631	30988	18044
632	31034	17993
633	31080	17942
634	31142	17900
635	31194	17853
636	31239	17802
637	31288	17753
638	31335	17703
639	31381	17652
640	31427	17601
641	31475	17551
642	31523	17502
643	31570	17452
644	31618	17402
645	31667	17353
646	31712	17302
647	31758	17251
648	31805	17201
649	31854	17152
650	31901	17102
651	31952	17054
652	31998	17003
653	32040	16951
654	32086	16900
655	32161	16865
656	32208	16815
657	32256	16765
658	32304	16716
659	32368	16674
660	32424	16629
661	32475	16580
662	32522	16531
663	32572	16482
664	32613	16429
665	32660	16379
666	32707	16329
667	32756	16280
668	32802	16229
669	32848	16179
670	32894	16128
671	32939	16077
672	32984	16026
673	33033	15977
674	33082	15928
675	33148	15887
676	33198	15839
677	33255	15794
678	33312	15748
679	33372	15704
680	33426	15657
681	33475	15608
682	33520	15557
683	33567	15507
684	33613	15457
685	33665	15409
686	33706	15356
687	33753	15306
688	33799	15256
689	33841	15204
690	33886	15153
691	33934	15104
692	33991	15058
693	34049	15013
694	34117	14972
695	34189	14933
696	34240	14884
697	34303	14841
698	34354	14793
699	34405	14745
700	34451	14694
701	34492	14642
702	34543	14593
703	34590	14543
704	34638	14494
705	34688	14445
706	34731	14393
707	34779	14344
708	34840	14299
709	34892	14251
710	34941	14202
711	34987	14152
712	35034	14102
713	35080	14051
714	35128	14002
715	35185	13956
716	35231	13905
717	35278	13855
718	35325	13805
719	35371	13755
720	35420	13706
721	35473	13658
722	35533	13613
723	35604	13573
724	35664	13527
725	35717	13480
726	35773	13433
727	35836	13389
728	35887	13340
729	35937	13292
730	35986	13242
731	36041	13195
732	36104	13151
733	36157	13103
734	36222	13059
735	36272	13010
736	36321	12961
737	36369	12911
738	36415	12861
739	36462	12811
740	36508	12760
741	36554	12710
742	36603	12660
743	36651	12611
744	36699	12561
745	36757	12515
746	36815	12468
747	36866	12420
748	36926	12374
749	36978	12326
750	37025	12276
751	37071	12225
752	37120	12176
753	37166	12126
754	37225	12079
755	37271	12029
756	37317	11979
757	37361	11927
758	37407	11877
759	37449	11826
760	37496	11776
761	37542	11725
762	37590	11676
763	37638	11626
764	37684	11576
765	37731	11526
766	37770	11473
767	37822	11425
768	37868	11375
769	37915	11325
770	37962	11275
771	38009	11225
772	38060	11176
773	38109	11127
774	38155	11077
775	38197	11025
776	38259	10980
777	38304	10930
778	38351	10880
779	38396	10829
780	38441	10779
781	38487	10729
782	38532	10678
783	38587	10631
784	38649	10585
785	38703	10537
786	38751	10488
787	38793	10436
788	38839	10386
789	38886	10337
790	38933	10287
791	38984	10238
792	39031	10188
793	39082	10139
794	39127	10089
795	39174	10039
796	39223	9990
797	39282	9943
798	39330	9894
799	39375	9843
800	39424	9794
801	39473	9745
802	39521	9695
803	39570	9646
804	39617	9596
805	39662	9546
806	39708	9496
807	39754	9446
808	39801	9396
809	39849	9347
810	39896	9297
811	39943	9247
812	39996	9199
813	40043	9150
814	40091	9100
815	40140	9051
816	40188	9001
817	40236	8952
818	40303	8907
819	40360	8859
820	40411	8810
821	40460	8761
822	40505	8711
823	40551	8661
824	40592	8610
825	40640	8561
826	40685	8511
827	40744	8463
828	40800	8416
829	40853	8367
830	40902	8318
831	40951	8269
832	40999	8219
833	41062	8173
834	41119	8125
835	41167	8076
836	41214	8026
837	41267	7977
838	41326	7930
839	41376	7881
840	41420	7830
841	41468	7781
842	41514	7731
