iter	Logloss	F1:use_weights=true	F1:use_weights=false
314	0.4046651724	0.7741180211	0.7741180211
315	0.4045840782	0.7742234379	0.7742234379
316	0.4045102547	0.7742368701	0.7742368701
317	0.4044641772	0.7742870061	0.7742870061
318	0.4043826559	0.7743613701	0.7743613701
319	0.4043260089	0.7744435642	0.7744435642
320	0.4042379057	0.7745555257	0.7745555257
321	0.4041701706	0.7745724713	0.7745724713
322	0.4040614252	0.7746505167	0.7746505167
323	0.4040083879	0.7746959898	0.7746959898
324	0.4039464566	0.7747923364	0.7747923364
325	0.4038678581	0.7748392662	0.7748392662
326	0.4038027075	0.7749483936	0.7749483936
327	0.4037407336	0.7749804823	0.7749804823
328	0.4036745785	0.775000139	0.775000139
329	0.403610577	0.7750493968	0.7750493968
330	0.4035349578	0.7751538215	0.7751538215
331	0.4034822594	0.7751822511	0.7751822511
332	0.403424059	0.7752403579	0.7752403579
333	0.4033788271	0.7752685149	0.7752685149
334	0.4033197001	0.7752919261	0.7752919261
335	0.4032403771	0.7753244361	0.7753244361
336	0.4031525574	0.7754246776	0.7754246776
337	0.4030622205	0.7755166851	0.7755166851
338	0.4030127142	0.7755834658	0.7755834658
339	0.4029537331	0.7756784926	0.7756784926
340	0.4028930367	0.7757349818	0.7757349818
341	0.40284855	0.7757718086	0.7757718086
342	0.4027726477	0.7758857749	0.7758857749
343	0.402717152	0.7759088365	0.7759088365
344	0.4026451712	0.7759348385	0.7759348385
345	0.4025744753	0.7760683191	0.7760683191
346	0.4025259483	0.7761567432	0.7761567432
347	0.4024645043	0.7762261851	0.7762261851
348	0.4024062308	0.7762697256	0.7762697256
349	0.4023415571	0.7763056502	0.7763056502
350	0.4022963607	0.7763773417	0.7763773417
351	0.4022318784	0.7763525846	0.7763525846
352	0.402147648	0.7764455902	0.7764455902
353	0.4020803532	0.7764853186	0.7764853186
354	0.4020378502	0.7764534678	0.7764534678
355	0.4019630319	0.7765784922	0.7765784922
356	0.4018944626	0.7765920903	0.7765920903
357	0.4018261898	0.7766290145	0.7766290145
358	0.40176718	0.7767109062	0.7767109062
359	0.4016553339	0.7768073135	0.7768073135
360	0.4015965449	0.7769144936	0.7769144936
361	0.4015043981	0.7769990802	0.7769990802
362	0.4014382695	0.7769970361	0.7769970361
363	0.401383591	0.7770611354	0.7770611354
364	0.4012745073	0.7771035859	0.7771035859
365	0.4012080408	0.7771523998	0.7771523998
366	0.4011430438	0.7772396922	0.7772396922
367	0.4010912851	0.7772727561	0.7772727561
368	0.4010268035	0.7773045709	0.7773045709
369	0.4009697469	0.7773789219	0.7773789219
370	0.4008913241	0.7774847523	0.7774847523
371	0.4008318415	0.7775261548	0.7775261548
372	0.4007817032	0.7775734813	0.7775734813
373	0.4007420735	0.7776365584	0.7776365584
374	0.4006522016	0.7777186722	0.7777186722
375	0.4006038297	0.7777555809	0.7777555809
376	0.4005582777	0.7777924881	0.7777924881
377	0.4005120714	0.7778338841	0.7778338841
378	0.4004528042	0.7778486777	0.7778486777
379	0.4003839866	0.7779353445	0.7779353445
380	0.4003358351	0.7779556122	0.7779556122
381	0.4002732691	0.7780465995	0.7780465995
382	0.4002262228	0.7780755065	0.7780755065
383	0.4001568591	0.7781520613	0.7781520613
384	0.40009256	0.7782198956	0.7782198956
385	0.4000238992	0.7782677802	0.7782677802
386	0.3999742757	0.7783321047	0.7783321047
387	0.3998900642	0.7784202706	0.7784202706
388	0.399831422	0.7784756661	0.7784756661
389	0.3997652167	0.778501195	0.778501195
390	0.3997162353	0.7785583433	0.7785583433
391	0.3996679028	0.7786189017	0.7786189017
392	0.3996183799	0.7786332608	0.7786332608
393	0.399557673	0.7786693795	0.7786693795
394	0.3994880877	0.7787079473	0.7787079473
395	0.3994071647	0.7787727554	0.7787727554
396	0.3993481678	0.7788863795	0.7788863795
397	0.3992851012	0.7789679972	0.7789679972
398	0.39922304	0.7790127368	0.7790127368
399	0.3991731011	0.7790154669	0.7790154669
400	0.3991177888	0.7789969782	0.7789969782
401	0.3990530668	0.7790891009	0.7790891009
402	0.3989936578	0.7791349423	0.7791349423
403	0.3989157606	0.7791663828	0.7791663828
404	0.3988597551	0.7791894255	0.7791894255
405	0.3987893225	0.7792240501	0.7792240501
406	0.3987298047	0.7793009013	0.7793009013
407	0.3986776041	0.7793753593	0.7793753593
408	0.398644652	0.7793995141	0.7793995141
409	0.3986004597	0.7793862858	0.7793862858
410	0.3985120367	0.7794650493	0.7794650493
411	0.3984692974	0.7795654997	0.7795654997
412	0.3984128927	0.7795488912	0.7795488912
413	0.3983623158	0.7795957012	0.7795957012
414	0.3983106751	0.7796315252	0.7796315252
415	0.3982593288	0.7796850597	0.7796850597
416	0.3982132546	0.7796910967	0.7796910967
417	0.3981693906	0.7797157546	0.7797157546
418	0.3981223924	0.7797728494	0.7797728494
419	0.3980763593	0.779780839	0.779780839
420	0.3980256482	0.7798116774	0.7798116774
421	0.3979750918	0.7798492341	0.7798492341
422	0.3979351503	0.779855327	0.779855327
423	0.3978732994	0.7799157153	0.7799157153
424	0.3978046692	0.7799757995	0.7799757995
425	0.3977259954	0.7801276446	0.7801276446
426	0.3976725951	0.7801831958	0.7801831958
427	0.3976102155	0.7801871892	0.7801871892
428	0.3975578681	0.7802437797	0.7802437797
429	0.3974811435	0.7803148092	0.7803148092
430	0.397422856	0.7803924703	0.7803924703
431	0.3973593958	0.7804690108	0.7804690108
432	0.3972897216	0.7805730867	0.7805730867
433	0.3972226917	0.7805938815	0.7805938815
434	0.3971683471	0.7806369495	0.7806369495
435	0.3971167689	0.7806547819	0.7806547819
436	0.3970654198	0.7807315883	0.7807315883
437	0.3970246756	0.7807470303	0.7807470303
438	0.3969447022	0.7807878734	0.7807878734
439	0.3968821536	0.780803498	0.780803498
440	0.3968199343	0.7808795441	0.7808795441
441	0.3967727905	0.7809645381	0.7809645381
442	0.3967197962	0.780985539	0.780985539
443	0.3966775257	0.7810355218	0.7810355218
444	0.3966248259	0.7811354392	0.7811354392
445	0.3965708069	0.7811584529	0.7811584529
446	0.3965105306	0.7811962189	0.7811962189
447	0.3964519798	0.7812432523	0.7812432523
448	0.396395494	0.7812666851	0.7812666851
449	0.3963519287	0.7813351725	0.7813351725
450	0.3963027688	0.7813477076	0.7813477076
