iter	Accuracy	Logloss
284	0.6513644165	0.6135528127
285	0.6513550208	0.6135259217
286	0.6514090462	0.6134991173
287	0.6514137441	0.613456981
288	0.6514552419	0.6133447316
289	0.651451327	0.6132663615
290	0.6514685525	0.6132111204
291	0.6515585949	0.6131630024
292	0.6517034457	0.6130340327
293	0.6517880073	0.6129303985
294	0.651867871	0.6128550765
295	0.652178713	0.6126177606
296	0.652389334	0.6125258301
297	0.6524449254	0.6124394031
298	0.6524284828	0.6123669705
299	0.6524504062	0.6123327532
300	0.6526187464	0.6121541946
301	0.6526500655	0.6121166579
302	0.6529546437	0.6120563054
303	0.6532740985	0.6117933435
304	0.653290541	0.6116947866
305	0.6533289069	0.6116282696
306	0.6535395278	0.6113790843
307	0.6535551874	0.6113317939
308	0.6535450087	0.6112819559
309	0.6536773319	0.6112400295
310	0.6539372804	0.610973437
311	0.6539615527	0.6109139297
312	0.6541150163	0.6108452615
313	0.6541306758	0.610787182
314	0.654124412	0.6107325934
315	0.6542684798	0.6105238147
316	0.6542786585	0.6104898084
317	0.6543021479	0.6104354736
318	0.6543483435	0.610401636
319	0.654504939	0.6101999432
320	0.6545722751	0.6100825162
321	0.6545801049	0.6100250562
322	0.6545941985	0.6099768432
323	0.6545808878	0.609924461
324	0.6548361385	0.6097281195
325	0.6549011256	0.6096200689
326	0.6549520191	0.6095784752
327	0.6549825553	0.6095460714
328	0.6551775166	0.6093629997
329	0.6553529036	0.6092009026
330	0.6554625204	0.6090610186
331	0.655547082	0.6089452565
332	0.6557443923	0.6087909848
333	0.6557678816	0.6087354415
334	0.6558305198	0.6085927297
335	0.655823473	0.608563536
336	0.6557984178	0.6085295197
337	0.6559753707	0.6084616362
338	0.6559957281	0.6083886375
339	0.6560246982	0.6083488649
340	0.6560544514	0.6082648002
341	0.6562846468	0.608118691
342	0.6567826204	0.6080071711
343	0.656796714	0.6079747242
344	0.6567802715	0.6079202277
345	0.6568632671	0.6078538982
346	0.6570503987	0.607756143
347	0.6571545347	0.6076270703
348	0.6575812574	0.6075072402
349	0.6576110105	0.6074830344
350	0.6576321509	0.6074146547
351	0.6576799126	0.6073554225
352	0.657734721	0.6073087301
353	0.6577206274	0.6072584534
354	0.6577574273	0.607226396
355	0.6577965762	0.6071737729
356	0.6578466868	0.6071280445
357	0.6578991462	0.6070855897
358	0.6579257675	0.6070268324
359	0.6580064142	0.6069879065
360	0.658082363	0.6069202186
361	0.6581958947	0.6067701017
362	0.6584159114	0.6066173124
363	0.658461324	0.6065450494
364	0.6585952132	0.6064198163
365	0.6586241834	0.6063529639
366	0.6586805577	0.6062968874
367	0.6586907364	0.6062706064
368	0.6587486768	0.6061792613
369	0.6591127613	0.6060825744
370	0.6591299868	0.6060425861
371	0.6591166762	0.6059755988
372	0.6591542591	0.6059454453
373	0.6591605229	0.6059150589
374	0.6592991099	0.6058158055
375	0.6592850163	0.6057677713
376	0.6592834504	0.6057418992
377	0.6593030248	0.605717758
378	0.6594126416	0.6056011005
379	0.6593969821	0.6055708523
380	0.6594713649	0.6054960145
381	0.6594470926	0.6054449394
382	0.6594541394	0.6053986242
383	0.6595465308	0.6052650208
384	0.6597352283	0.6051431842
385	0.6597266156	0.6051204613
386	0.6598918238	0.6050130695
387	0.6599388025	0.604966342
388	0.6599771684	0.6049072471
389	0.6599787343	0.6048520496
390	0.6599943939	0.6048243116
391	0.6599521131	0.6047603064
392	0.6599779514	0.6047290293
393	0.6599771684	0.6046915407
394	0.6599748194	0.6046650043
395	0.6600914831	0.604612918
396	0.6601321979	0.6045462621
397	0.6601087086	0.6045262077
398	0.6603005381	0.6044808968
399	0.660338121	0.6044377195
400	0.6604586995	0.6043198443
401	0.6604469548	0.6042973367
402	0.6604500868	0.60427378
403	0.6605142909	0.6042241767
404	0.6605299505	0.6042058021
405	0.6607123842	0.6041117443
406	0.6607609288	0.6040752136
407	0.6608486223	0.6039742193
408	0.6609112605	0.6039283791
409	0.6609386647	0.6039020757
410	0.6609316179	0.6038757799
411	0.6609535413	0.6038317719
412	0.6609566732	0.6037792573
413	0.6609879923	0.6037005632
414	0.6611187495	0.6036696879
415	0.6611195325	0.6036259292
416	0.6611406729	0.6035600531
417	0.6611813877	0.6034701784
418	0.6612252344	0.6034420902
419	0.6613732172	0.6032989055
420	0.6614115831	0.6032711105
421	0.6614703064	0.6031826493
422	0.6614977106	0.6031354137
423	0.6616871911	0.6030278421
424	0.6616864081	0.6029841705
425	0.661691889	0.6029636338
426	0.661725557	0.6029090265
427	0.661795242	0.6028067747
428	0.6617874122	0.6027826757
429	0.6618680589	0.6027235873
430	0.6618891993	0.6026812041
431	0.6619306971	0.6026595906
432	0.6619487056	0.6026338907
433	0.6619667141	0.6026088894
434	0.6620168246	0.6025844128
435	0.6619753268	0.602539099
436	0.6620285693	0.6024389211
437	0.6621726371	0.6023208737
438	0.6621749861	0.6022868275
439	0.6622775561	0.6022106905
440	0.6623918708	0.6021208928
441	0.6624388495	0.6021004326
442	0.6624521601	0.6020587463
443	0.6625202791	0.6019809994
444	0.662559428	0.6019478063
445	0.662559428	0.6019240637
446	0.6626087556	0.601892878
447	0.6626212832	0.6018445487
448	0.6627402958	0.6017058872
449	0.6627528234	0.6016712998
450	0.6627583043	0.6016132291
451	0.6628663551	0.6015854948
452	0.6628734019	0.6015275635
453	0.6628874955	0.6014830202
454	0.6629031551	0.6014576686
455	0.6629219465	0.6013750758
456	0.6629227295	0.6013375175
